,name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,region
3459,all purpose mild brine for poultry and pork,80,5,30080,2003-07-08,"[2, 306, 80, 230, 171, 135, 6, 317, 75, 95, 169, 90, 168, 172, 166, 167, 77, 170, 193]","[97.5, 0.0, 100.0, 1180.0, 0.0, 0.0, 8.0]",5,"['mix cold water , salt and sugar and stir to dissolve', 'in a non-reactive container , immerse food in brine , seal and refrigerate', 'use 1 quart of brine per pound of meat , not to exceed 2 gallons', 'brine for 1 hour per pound , but not less than 30 minutes or more than 8 hours', 'will not work if meat is frozen']","this is a simple all-purpose mild brine for chicken, turkey and pork. it is fabulous used when grilling chicken pieces. the meat will never be dry.","[206, 2, 101]",3,
3463,all purpose stir fry sauce  brown garlic sauce,199,20,115525,2004-03-29,"[4, 306, 80, 83, 230, 252, 75, 14, 95, 90, 168, 288, 148, 255, 170, 301]","[212.5, 16.0, 47.0, 115.0, 11.0, 7.0, 6.0]",10,"['in a bowl , combine soy sauce , broth , rice wine , sugar , sesame oil and white pepper', 'dissolve the cornstarch in 1 / 4 cup water', 'heat a pan over high heat', 'add the cooking oil , swirling to coat', 'add the garlic and ginger', 'cook , stirring , until fragrant , about 15 seconds', 'add the soy sauce mixture', 'bring to a boil', 'reduce heat to medium and cook for 1 minute', 'add the cornstarch solution and cook , stirring , until the sauce boils and thickens']","adapted from martin yan's chinese cooking for dummies. this is my favorite stir-fry sauce. it makes enough for two meals. having extra on hand makes for a quick meal. my son will actually eat vegetables he can dip in the sauce! warning about the amount of soy sauce. when i used kikkoman soy sauce, i found this sauce far too salty. i now use angostura, which is much lower in salt. when adding soy sauce, start with less than half the amount and slowly add more to taste. using vegetable broth makes this vegetarian. yield: 1 3/4 cups (couldn't get that amount entered)","[91, 624, 274, 2, 62, 899, 234, 416, 133, 642, 101]",11,asian
3511,allrighty then scrambled eggs   paula deen,169,18,37449,2003-10-09,"[4, 306, 80, 176, 83, 230, 197, 189, 317, 36, 98, 10, 274, 97, 290, 90, 167, 170, 42, 101]","[262.4, 32.0, 2.0, 11.0, 32.0, 52.0, 0.0]",6,"['in a medium size bowl , beat eggs , sour cream , water , and salt and pepper until fluffy', 'using a nonstick frying pan , melt butter and cook eggs over low heat , stirring occasionally', 'stir in the cheese', 'cook until you reach desired consistency', 'serve hot with biscuits !', 'enjoy !']",i saw this on paula's home cooking and had to share! allrighty then!,"[441, 592, 101, 172, 691, 143]",6,north-american
3687,almond cream cheese pound cake,42,50,9580,2002-08-05,"[7, 306, 80, 230, 110, 88, 44, 90, 193]","[290.4, 25.0, 82.0, 11.0, 7.0, 22.0, 10.0]",8,"['bring cream cheese to room temperature', 'place all ingredients in large mixing bowl', 'mix with electric mixer on low for one minute until all combined', 'mix at medium for two minutes', 'batter should look uniform and thick', 'bake in a greased and floured 10 inch tube pan at 350f for about 45 minutes or until cake springs back when touched', 'serve alone or with berries and sweetened whipped cream', 'the cake is rich on its own']","this cake comes from one of my favorite cookbooks, *the cake mix doctor*.  it is a keeper of a cake recipe","[520, 784, 441, 2, 101, 998, 6, 534]",8,
4021,almost apple pie,262,50,130819,2004-09-09,"[7, 306, 80, 176, 230, 171, 216, 88, 117, 202, 90, 173, 168, 170, 13, 101]","[435.7, 24.0, 171.0, 7.0, 7.0, 16.0, 24.0]",4,"['whisk the crumb mixture together and pat half the crumb mix into an 8x8 baking pan', 'slice apples into a large bowl , add the dry ingredients , mix gently and place filling over the crumb base', 'put the remaining crumbs over the apples and pat in place', 'bake in a 350 oven 40 to 50 minutes or till nicely colored , times vary from oven to oven']",while this recipe is good any time it is the first one requested when the fall apples ripen. it was passed to me by a family member. the recipe calls for an 8x8 deep baking pan. family member uses a corning ware casserole dish for the baking which makes for a lovely dessert. i often bake it in a pie plate and when cool slice and serve as you would pie. using white sugar in the crumb crust has it so tasting like pastry. quick and easy to make. note - recently found this recipe from an old family cookbook is called  aunties 'old fashioned crumb cake'  and calls for baking in a 425 oven for 40 to 50 minutes or until brown and crisp. just made it and found baked at the higher temperature it very like an apple crisp - an absolutely delicious version of almost apple pie and another great apple dessert to serve family and friends.  ovens vary - i used a slightly lower oven temp.,"[290, 319, 1001, 445, 504]",5,
4079,almost kfc coleslaw,13,270,35193,2002-11-12,"[319, 306, 80, 176, 83, 230, 197, 189, 248, 315, 10, 238, 228, 144, 156, 214, 316, 90, 74, 146, 148, 300, 307, 101]","[48.3, 0.0, 35.0, 5.0, 2.0, 0.0, 3.0]",5,"['mix cabbage , carrot , and onion in a large bowl', 'combine the sugar , salt , pepper , mayonnaise , milk , buttermilk , and tarragon vinegar and beat until smooth', 'pour over the cabbage mixture', 'mix well', 'cover and refrigerate 3 to 4 hours before serving']","i started with a 'top secret recipes' recipe (thank you, twoolfe) and made two changes suggested by a contributor to tsr. this is my favorite homemade coleslaw of this type! (cook time listed is actually time for refrigeration.)","[137, 723, 40, 821, 225, 851, 608, 224, 18, 142]",10,north-american
4091,almost marzetti s slaw dressing,127,15,37183,2002-05-30,"[2, 306, 80, 176, 83, 230, 197, 189, 248, 265, 315, 10, 95, 188, 238, 228, 156, 214, 316, 90, 78, 74, 148, 192, 300, 307, 101, 193, 301]","[860.1, 97.0, 245.0, 69.0, 3.0, 48.0, 23.0]",7,"['combine mayonnaise , sugar , vinegar and mustard in bowl and mix thoroughly until sugar is completely dissolved', ""using a large and very sharp chef's knife , slice cabbage into shreds fine shreds"", 'thinly slice or shred carrot and combine with cabbage in bowl', 'sprinkle lightly with celery salt and toss', 'while stirring , pour just enough dressing over the prepared vegetables to moisten them nicely', 'cover and chill', 'refrigerate unused portion of dressing for later use']","did you ever just start cooking without really having a clue where you were going to end up? my kids have gotten used to it by now. ""mom, what's for dinner?"" ""i don't know, it's not done yet. let's wait and see what it turns out to be, okay?"" sometimes i let them name it. i really had absolutely no idea how this would taste, but sometimes i come up with pretty decent stuff that way. over the memorial day weekend, i thought i'd just whip up some coleslaw to go with my bobbie-q beef (recipe for that may follow...eventually) but instead of reaching for a coleslaw recipe in a cookbook, i whipped out my handy-dandy palm pilot (how did i ever get along without it?) and looked up the recipe for ""amish macaroni salad."" i took that as my leaping-off point. first, i changed it from miracle whip to mayonnaise, then reduced the sugar. also i added the celery salt, because, well, if it's good enough for a chicago style hot dog, it's good enough for me. turned out that it tasted almost-but-not-quite exactly like marzetti's brand slaw dressing which comes in a glass jar from your grocer's refrigerator case. which i just happen to like, so it was a good thing. hope you give this a try.","[213, 2, 526, 459, 137, 723, 929]",7,north-american
4100,almost nutra grain bars,226,35,89831,2005-06-02,"[7, 306, 80, 176, 230, 197, 110, 135, 88, 174, 268, 117, 95, 156, 76, 21, 90, 39, 307, 193]","[367.0, 14.0, 160.0, 11.0, 7.0, 17.0, 22.0]",13,"['set oven to 375 degrees', 'grease a 13 x 9-inch baking dish', 'in a large bowl combine cake mix , oatmeal , cinnamon and brown sugar', 'mix with a spatula or a large wooden spoon', 'in a small cup whisk egg with lemon juice and vanilla until combined', 'add to the crumb mixture along with 1 / 4 cup plus 2 tablespoons melted butter', 'using a large wooden spoon toss to combine then use your fingers to finish the mixing', 'mix until the mixture clumps together', 'sprinkle a litle more than half of the crumb mixture into the pan then spread out evenly pressing firmly to cover bottom', 'spoon the jam carefully over the crust in the pan and spread evenly', 'cover with remaining crumb mixture over top of the jam then gently pat the mixture down slightly', 'bake for 20 minutes', 'cool completely , or semi-freeze before cutting into bars']","these are great to take to work, kids lunch boxes, for a potluck or a bake sale, you can slice them and stick them in the freezer then wrap tightly in foil, put a frozen wrapped bar into your kid's lunchboxes, they will thaw out by noon, they are just as good if not better than the store-bought! ---this also works well using blueberry or other flavors of jams, for easy spreading heat the jam in the microwave until softened :)","[989, 134, 741, 504, 691, 920, 788, 815, 78]",9,
4114,almost tortuga rum cake,350,100,131659,2005-01-16,"[306, 80, 83, 230, 197, 273, 88, 44, 134, 121, 78, 192, 5]","[628.4, 51.0, 198.0, 24.0, 10.0, 62.0, 22.0]",21,"['basic cake mix: in a large mixing bowl , combine basic cake mix ingredients', 'on low speed combine ingredients until the mix is the consistency of fine gravel , and all particles are about the same size', 'this mix may be contained and stored for up to 3 months in the refrigerator', 'for the cake:', 'preheat oven to 325 degrees', 'spray a large bundt pan with nonstick cooking spray', 'sprinkle the chopped walnuts on the bottom', 'place basic cake mix , pudding mix , milk , eggs , rum , oil , and vanilla extract in a large bowl and combine on medium speed with electric mixer for 2 to 3 minutes , scrape down the bowl halfway through', 'batter should be very smooth', 'pour into bundt pan', 'bake for about 55 minutes- until fully golden and tester comes out clean and cake springs back', 'remove from oven and place on a cooling rack while making the soaking glaze', 'rum soaking glaze:', 'combine butter , water and sugar in a small saucepan', 'bring to a boil carefully as mixture boils over very easily', 'reduce to a simmer and cook until sugar is dissolved and syrup is well combined and a little thicker', 'remove from the heat and add the rum , mix to combine', 'while cake is still cooling , pour some of the hot syrup on top of the cake , allowing it time to soak in continue to add syrup until all of the syrup is added', 'allow cake to cool completerly in pan before turning out onto serving platter', 'this cake is delicate , so once it is turned out , it can not be moved around easily', 'can be eaten when fully cool , but even better the next day !']","next best to the original! on our visit to the caribbean, we brought home the best rum cake i've ever had.... in fact it's the very best of all cakes i've ever had!!! i then thought i'd send for some to be shipped to us and found the price to be $35 for the med. size ( i paid $18 on the island) so my search for the recipe began! you can not purchase tortuga rum anywhere except in the caribbean - whaler's vanille rum should be a close match. this next best copy-cat comes from newsgroup rec.food.recipes.","[337, 821, 323, 225, 691, 998, 736, 958, 224, 441, 785, 718, 101]",13,south-west-pacific
4118,almost white castle hamburgers,250,20,166294,2005-01-24,"[4, 306, 80, 176, 230, 175, 24, 202, 95, 27, 196, 128, 178, 101, 193]","[326.3, 21.0, 21.0, 31.0, 34.0, 23.0, 10.0]",11,"['preheat oven to 400f', 'hamburgers: mix first 6 ingredients and press into an ungreased 10 by 15 inch jelly roll pan', 'prick with a fork', 'bake for 10 minutes', 'drain off juices', 'cool', 'cut into 24 squares', 'place squares on dinner rolls', 'combine mustard and ketchup and spread on rolls', 'top with pickles and cheese , if desired', 'this makes 12 servings of 2 hamburgers each']","these are really close to the real thing. my family was in heaven! they're great for dinner, football parties, or kid's birthday parties. i'm not real fond of white castle myself but i gobbled these up.  note:  to freeze: assemble hamburgers less the condiments. flash freeze, wrap in plastic wrap, put in a ziplock bag and label.
to heat: microwave until heated through.","[650, 829, 920, 851, 101, 438, 303, 10, 690, 450, 378]",11,
4121,almost famous breadsticks  olive garden copycat,40,31,827911,2009-05-04,"[7, 306, 80, 230, 197, 110, 135, 35, 91, 156, 243, 90, 78, 74, 325, 192, 300, 193]","[160.3, 6.0, 6.0, 21.0, 7.0, 11.0, 9.0]",17,"['make the dough: place 1 / 4 cup warm water in the bowl of a mixer', 'sprinkle in the yeast and set aside until foamy , about 5 minutes', 'add the flour , butter , sugar , fine salt and 1 1 / 4 cups plus 2 tablespoons warm water', 'mix with the paddle attachment until a slightly sticky dough forms , 5 minutes', 'knead the dough by hand on a floured surface until very smooth and soft , 3 minutes', 'roll into a 2-foot-long log', 'cut into 16 1 1 / 2-inch pieces', 'knead each piece slightly and shape into a 7-inch long breadstick', 'arrange 2 inches apart on a parchment-lined baking sheet', 'cover with a cloth', 'let rise in a warm spot until almost doubled , about 45 minutes', 'preheat the oven to 400 degrees f', 'make the topping: brush the breadsticks with 1 1 / 2 tablespoons of the butter and sprinkle with 1 / 4 teaspoon kosher salt', 'bake until slightly golden , about 15 minutes', 'meanwhile , combine the remaining 1 / 4 teaspoon salt with the garlic powder and oregano', 'brush the warm breadsticks with the remaining 1 1 / 2 tablespoons melted butter and sprinkle with the flavored salt', 'serve warm with salad']","since olive garden won't give out the recipe, here's the closest one to the real thing! this recipe calls for a kitchen-aid mixer with the paddle attachment, but i'm sure you could use something similar. 
from food network magazine.","[350, 1007, 997, 2, 541, 206, 1000, 575]",8,
4140,aloha chicken wings,105,420,37636,2003-12-03,"[319, 306, 80, 176, 83, 230, 197, 273, 12, 229, 91, 105, 144, 58, 134, 90, 187, 178, 322, 294, 193, 231, 261]","[436.6, 34.0, 106.0, 31.0, 45.0, 28.0, 11.0]",8,"['cut wings into sections and discard', 'place wings in a large resealable plastic ziplock bag', 'stir together preserves , sherry , orange juice concentrate , soy sauce , brown sugar , oil , garlic , and ginger , until thoroughly combined', 'pour mixture over wings in bag and seal', 'work marinade over all parts of chicken wings and allow wings to marinate , refrigerated , for 6 hours or overnight', 'place wings on a foil-covered baking pan and pour 1 cup of the marinade over the wings', 'discard the rest of the marinade', 'bake wings at 350f for 1 hour']",baked chicken wing appetizers with a fruity pineapple-orange based sauce. very good! great for parties and sports get-togethers.,"[155, 466, 230, 873, 91, 741, 998, 1000, 843]",9,south-west-pacific
4172,aloo gobi,242,60,124813,2004-02-18,"[85, 7, 306, 80, 176, 83, 230, 175, 315, 14, 147, 316, 90, 53]","[215.9, 11.0, 22.0, 13.0, 11.0, 5.0, 11.0]",13,"['heat vegetable oil in a large saucepan', 'add the chopped onion and one teaspoon of cumin seeds to the oil', 'stir together and cook until onions become creamy , golden , and translucent', 'add chopped coriander stalks , two teaspoons of turmeric , and one teaspoon of salt', 'add chopped chillis stir tomatoes into onion mixture', 'add ginger and garlic', 'mix thoroughly', 'add potatoes and cauliflower to the sauce plus a few tablespoons of water', 'ensure that the potatoes and cauliflower are coated with the curry sauce', 'cover and allow to simmer for twenty minutes', 'add two teaspoons of garam masala and stir', 'sprinkle chopped coriander leaves on top of the curry', 'turn off the heat , cover , and leave for as long as possible before serving']",great aloo gobi recipe from the film bend it like beckham,"[998, 495, 907, 611, 338, 709, 754, 971, 801, 349, 523, 225, 527]",13,asian
4173,aloo gobi   cauliflower and potatoes,232,45,2129,2002-01-18,"[85, 159, 7, 306, 80, 176, 83, 230, 197, 171, 135, 175, 265, 315, 14, 147, 169, 314, 316, 290, 90, 279, 199, 168, 172, 166, 167, 148, 136, 111, 170, 53, 300, 101]","[134.5, 6.0, 13.0, 26.0, 8.0, 2.0, 7.0]",10,"['heat the oil in a large 12 to 14 inch skillet', 'when the oil is smoking , scatter in the fenugreek , fennel , cumin and red peppers', 'stir once and add the cauliflower and potatoes', 'stir lightly until coated with spices and oil', 'turn heat down to medium', 'add turmeric , ground coriander , salt and pepper', 'saut for 810 minutes', 'add cup water and cover immediately', 'turn heat very low and steam vegetables for 7-10 minutes', 'sprinkle the garam masala over the vegetables , stir once and serve']",an indian classic,"[338, 393, 998, 462, 422, 654, 693, 913, 921, 225, 700, 527]",12,asian
4184,aloo matar ka pulao   indian rice with potatoes and peas,432,95,83093,2006-06-15,"[306, 80, 176, 83, 230, 171, 135, 175, 265, 227, 240, 315, 14, 147, 169, 90, 168, 172, 166, 170, 206, 5]","[467.6, 14.0, 12.0, 75.0, 21.0, 21.0, 28.0]",8,"['wash rice and soak in 2 cups of water for an hour', 'drain well', 'in a heavy pan , heat the butter and add the cumin and the ginger', 'when the ginger becomes a light brown , add the peas and potatoes , coriander , garam masala , salt and turmeric', 'stir-fry till well mixed', 'add the drained rice & 4 cups of water , bring to a boil uncovered , then lower the heat to simmer and cover', 'the rice should be done in 10 minutes', 'serve hot']",found the recipe on an indian cooking website & believe it to be the same dish that my friend raksha used to make for me.,"[896, 101, 691, 349, 971, 655, 756, 888, 527, 225, 523]",11,asian
4189,aloo palak  indian potatoes   spinach,120,30,71324,2005-01-19,"[4, 306, 80, 176, 83, 230, 197, 109, 175, 265, 227, 315, 14, 147, 316, 90, 279, 148, 126, 280, 300, 193]","[404.4, 41.0, 29.0, 5.0, 17.0, 80.0, 12.0]",7,"['in a pan cook the spinach with garlic , ginger , onions and the green chilies for about 5-10 minutes', 'remove from the pan and blend to a fine puree and keep aside', 'in the meantime boil the potatoes with salt and turmeric until done , apprximately 10 minutes and set aside when done', 'heat ghee in a pan , fry cumin seeds along with spinach-onion paste and simmer for a few minutes', 'add the cooked potatoes , garam masala , coriander and cumin powder and a little water if needed', 'simmer for few minutes till the potatoes absorb the flavor', 'add fresh cream if desired']","i got this aloo palak recipe from daawat.com, but have adjusted it slightly to my liking. it will serve two as a main course when served with naan bread or rice, or four as a side dish. if you like it a little milder deseed the chilies.","[963, 752, 971, 40, 611, 709, 523, 390, 349, 527, 921, 480, 238, 225]",14,asian
4268,alton brown s baked brown rice,299,70,156783,2006-07-10,"[306, 80, 176, 230, 171, 135, 6, 265, 240, 202, 95, 169, 90, 168, 148, 170, 206, 40, 101, 5]","[188.1, 5.0, 1.0, 16.0, 7.0, 7.0, 11.0]",8,"['preheat oven to 375f', 'boil the water and add the butter and salt', 'stir to dissolve salt and melt butter', 'place the rice in an 8"" casserole dish', 'pour the boiling water mixture over the rice and stir', 'cover with foil and bake on the middle rack for 1 hour', 'fluff with fork and serve', ""this rice also refrigerates and reheats fairly well , but it's best freshly made""]","this recipe comes from alton brown and it's the only way we have rice anymore.  my servings are quite a bit smaller than his, though!  you can use chicken or veggie broth in place of the water, or add herbs and spices.","[996, 101, 997, 225]",4,
4269,alton brown s baked macaroni and cheese,48,45,98879,2005-01-05,"[7, 306, 80, 176, 230, 197, 52, 175, 265, 98, 205, 202, 156, 55, 90, 140, 74, 142, 206, 99, 42, 300, 101]","[658.2, 57.0, 12.0, 39.0, 55.0, 113.0, 17.0]",15,"['preheat oven to 350 degrees f', 'in a large pot of boiling , salted water cook the pasta to al dente', 'while the pasta is cooking , in a separate pot , melt the butter', ""whisk in the flour and mustard and keep it moving for about five minutes making sure it's free of lumps"", 'stir in the milk , onion , bay leaf , and paprika', 'simmer for ten minutes and remove the bay leaf', 'temper in the egg', 'stir in 3 / 4 of the cheese', 'season with salt and pepper', 'fold the macaroni into the mix and pour into a 2-quart casserole dish', 'top with remaining cheese', 'for the topping , melt the butter in a saut pan and toss the bread crumbs to coat', 'top the macaroni with the bread crumbs', 'bake for 30 minutes', 'remove from oven and rest for five minutes before serving']","this is in reply to a request for mac and cheese. i copied this from alton brown ""good eats"" from the food network. does take a bit of work, but well worth it. you can add tuna, hot dogs or any other kinds of additions you want.","[384, 691, 1001, 271, 224, 648, 881, 542, 920, 360, 206, 14, 932]",13,
4279,alton brown s chewy cookies,304,35,72093,2003-12-18,"[7, 306, 80, 176, 83, 230, 189, 93, 88, 10, 202, 76, 63, 90, 101, 266, 184, 193, 19]","[188.7, 15.0, 66.0, 5.0, 3.0, 30.0, 8.0]",13,"['heat oven to 375f', 'melt the butter in a heavy-bottom medium saucepan over low heat', 'sift together the flour , salt , and baking soda and set aside', ""pour the melted butter in the mixer's work bowl"", 'add the sugar and brown sugar', 'cream the butter and sugars on medium speed', 'add the egg , yolk , 2 tablespoons milk and vanilla extract and mix until well combined', 'slowly incorporate the flour mixture until thoroughly combined', 'stir in the chocolate chips', 'chill the dough , then scoop onto parchment-lined baking sheets , 6 cookies per sheet', 'bake for 14 minutes or until golden brown , checking the cookies after 5 minutes', 'rotate the baking sheet for even browning', 'cool completely and store in an airtight container']",this is alton brown's recipe for chewy cookies. i haven't tried it yet. i thought i'd add it here so i could have it in my cookbook.,"[997, 57, 206, 444, 2, 741, 920, 314, 224, 718, 179]",11,north-american
4316,alton brown s white trash,371,30,179133,2007-05-08,"[4, 306, 80, 176, 83, 230, 197, 189, 110, 88, 174, 268, 117, 10, 95, 181, 188, 144, 48, 63, 195, 123, 121, 206, 300, 296, 101, 193, 301]","[343.2, 29.0, 110.0, 8.0, 10.0, 41.0, 13.0]",6,"['dump the cereals , m&ms , nuts & pretzels in a large bowl', 'melt the white chocolate in the microwave or in a double boiler', 'melt very slowly , stirring occasionally , being careful not to burn the chocolate', 'dump melted chocolate over the rest of the ingredients and fold over and over until you have well-coated hunks and chunks', 'spread the whole mess out on parchment paper and set in a cool place until it sets up , then break it into pieces', 'store in zip-top bags or air-tight containers']","alton once posted this on his website and said that he always cranks out a bushel or two of it during the holidays. he also said ""dole this stuff out carefully. it is highly habit forming."" i totally agree and for this reason have no earthly idea how many servings it makes! depends on how much you can eat! lol especially good to anyone who likes the salty-sweet combination. cooking time is cooling time.","[791, 471, 451, 947, 984, 886, 200]",7,north-american
4370,amanda s cheese pound cake,84,105,55882,2004-05-22,"[306, 80, 83, 230, 197, 189, 88, 174, 268, 10, 202, 95, 27, 91, 44, 183, 11, 148, 190, 212, 42, 101, 5]","[612.2, 49.0, 202.0, 12.0, 15.0, 95.0, 24.0]",7,"['preheat oven to 300f', 'cream butter , cream cheese and sugar together', 'add eggs one at a time', 'add vanilla and then flour slowly', 'pour into a bundt pan or tube pan', 'bake for 1 1 / 2 hours', 'important: do not try and rush by cooking faster in a hotter oven']","my daughter amanda found this recipe in a old church cookbook, that i have had for years. its the kind of cake that you want to stick your face in the pan and never come up for air.","[691, 784, 2, 441, 1001, 815]",6,north-american
4381,amanda s thai peanut,60,25,236462,2006-06-28,"[4, 306, 80, 176, 83, 230, 197, 189, 109, 175, 205, 14, 95, 27, 91, 314, 316, 90, 199, 74, 148, 206, 300, 253, 193]","[480.6, 22.0, 54.0, 54.0, 42.0, 13.0, 23.0]",12,"['in a large pot , cook fettucini as directed', 'towards the end of the pasta cooking , add the broccoli into the pot to cook for approximately 3-4 minutes', 'in a greased large saucepan , heat garlic on med-high heat for 2 minutes', 'add red pepper flakes , ginger , and brown sugar into the saucepan', 'allow to cook another 2 minutes', 'add soy sauce , rice wine vinegar , and peanut butter to the saucepan', 'use a spaghetti spoon or whisk to mix in the peanut butter to the liquid to form a sauce', 'when the sauce begins to bubble , add the cooked pasta / broccoli to the saucepan', 'mix well', 'add the carrot', 'mix well to prevent clumps', 'enjoy !']","by far the best and healthiest thai peanut i've ever tasted. it's highly requested by family and friends!!!  this quick recipe is just for two people, but it doubles and triples extremely well when we have company over. give it a try!!","[59, 923, 723, 416, 85, 843, 741, 569, 120, 717]",10,north-american
4565,amazing baked lemon garlic chicken thighs and potatoes,395,95,24386,2009-01-05,"[306, 80, 176, 230, 109, 175, 227, 229, 315, 202, 58, 90, 199, 166, 167, 170, 178, 60, 101, 193, 5]","[669.3, 45.0, 12.0, 70.0, 83.0, 41.0, 19.0]",12,"['preheat oven to 350', 'remove most of the skin from chicken thighs , leaving a small patch on top', 'mince garlic and make a paste with the teaspoon of salt using side of large knife , then rub all over tops of chicken', 'peel potatoes and cut into eight wedges each', 'add salt and pepper to potatoes , drizzle with olive oil and toss to coat', 'sprinkle chicken with black pepper and place in 9x13 pan', 'place potatoes in and around thighs', 'pour chicken broth into side of pan', 'sprinkle lemon juice to taste over top of dish', 'bake at 350 for about 1 hour and 15 minutes or until done', 'turn chicken and potatoes over halfway through cooking time', 'add more chicken broth during baking , if pan becomes dry during cooking']","this is one of the best chicken dishes i have ever had.  the garlic, lemon and chicken drippings make the most flavorful soft delicious potatoes. super easy to prepare - the oven does all the work.","[56, 752, 225, 840, 894, 454, 587, 624]",8,
4578,amazing breakfast pizza,113,35,236254,2005-08-22,"[7, 306, 80, 176, 230, 197, 36, 98, 95, 27, 156, 55, 90, 148, 178, 42, 231, 260, 261]","[329.8, 38.0, 2.0, 37.0, 46.0, 64.0, 0.0]",21,"['this recipe is a lot quicker if you precook your bacon and sausage the night before and store them in your refrigerator as i do -- the prep time will be based on this', 'preheat your oven to 400f', 'for the pizza dough , if you can find it frozen , uncooked , and preshaped', ""it's a huge time saver"", 'if not , just prepare it as you would normally on a large pizza pan', 'excluding the 1 1 / 2 of the outer crust , make little indentations with your finger', 'this helps the egg settle and cook more evenly', 'beat the eggs with the milk , and pour over the center of the crust', 'use your fingers , or a pastry brush to evenly disperse the egg', 'evenly cover the egg with the strips of ham', 'scatter the sausages , and if you want to have them , add the onion', 'salt and pepper it lightly', 'add a blanket of the mozzarella cheese , then the cheddar', 'sprinkle the crumbled bacon', 'put this wonderful pie in the oven on the center rack and check it after 15 minutes', ""it's hard for me to give an approximate cooking time as i used a ride through oven for 7 minutes at 475f at my work"", 'if it looks done , then it is', ""the egg layer is thin enough to cook in 10 minutes or so , so it's really just about the crust and how you like it"", ""once you've deemed it to be done , take it out of your oven and garnish it with some chopped chives"", ""slice , and enjoy ! it's great on the go , and is wonderful hot or cold"", ""i'm hoping this recipe will make your household as happy as it made my customers :)""]",i used to make this when i worked for a gas station/pizza place so i could sell it by the slice to the early morning rush. i would end up selling more for breakfast than lunch at times!,"[273, 441, 224, 143, 694, 150, 986, 58, 495, 570]",10,
4599,amazing chicken marinade,314,35,35193,2002-05-29,"[7, 306, 80, 176, 83, 230, 197, 189, 175, 75, 229, 10, 22, 95, 156, 177, 58, 90, 203, 178, 59, 101, 127]","[337.6, 25.0, 72.0, 33.0, 51.0, 12.0, 6.0]",8,"['in a large , non-reactive container , whisk together ingredients beginning with cider vinegar through salt', 'then whisk in olive oil and pepper', 'place chicken in the mixture', 'cover and marinate chicken in the fridge 8 hours or overnight', 'remove chicken from marinade just before you turn on your grill or broiler to let come up a few degrees', 'discard marinade', 'lightly oil your grill or broiler pan', 'grill or broil about 10 minutes per side']","this recipe came from allrecipes (ruth crickmer). my whole family loved it even though it cooked too fast. the original recipe said 'high heat' on the grill, which my husband did. it ended up cooking 8 minutes total, charred but not burnt tasting, and very juicy and flavorful. we'll turn down the heat next time for texture, but this is a keeper in our home!","[630, 939, 416, 215, 623, 741, 225, 587, 669, 458]",10,north-american
4602,amazing chicken tortilla soup,332,75,180567,2005-01-13,"[159, 306, 80, 176, 83, 230, 197, 189, 135, 12, 270, 229, 180, 95, 27, 91, 156, 169, 58, 90, 279, 168, 172, 166, 167, 96, 111, 170, 178, 59, 300, 231, 261, 5]","[163.3, 5.0, 21.0, 34.0, 32.0, 3.0, 5.0]",5,"['saut onion , garlic , jalapeo and green pepper with olive oil in a large pot until soft', 'add all the rest of the ingredients to the large pot and bring to a boil', 'after about 15 minutes , remove the chicken breasts and shred', 'return shredded chicken to the pot and simmer an additional 45 minutes', 'serve , topped with crushed tortilla chips if desired']","this recipe has been a huge hit with everyone who has ever tried it. we make it almost weekly, and the leftovers are eaten immediately. it is also very healthy! it is a little spicy, so if you don't have too much of a tolerance for spicy foods, you may choose to leave out the seeds of the jalapeño. if you love spicy, like we do, extra cayenne pepper adds even more zing. enjoy!","[587, 495, 752, 904, 900, 895, 483, 936, 889, 396, 960, 624, 754, 677, 893]",15,north-american
4612,amazing coconut pie,333,45,107655,2004-08-16,"[7, 306, 80, 176, 230, 216, 88, 117, 202, 95, 27, 215, 195, 90, 148, 70, 101]","[2219.4, 179.0, 765.0, 75.0, 97.0, 349.0, 82.0]",6,"['combine all of the ingredients , except the coconut , together in a blender', 'cover and blend on low speed for 3 minutes', 'pour into a greased 9-inch pie pan', 'let stand about 5 minutes then sprinkle with coconut', 'bake at 350 degrees for 40 minutes', 'serve warm or cool']","a favorite recipe from the 1977 ""proven baker's secrets to bake yourself proud""--an insert from a magazine of that year. very easy to make. makes its own crust.","[224, 2, 341, 441, 691, 815, 189]",7,
